func,size,time
linked,100,4.90196e-5
linked,1000,0.0044756802
linked,10000,0.4495741397
linked_for,100,3.6739900000000004e-5
linked_for,1000,0.00198415
linked_for,10000,0.2150623899
linked_task,100,0.0001035702
linked_task,1000,0.00140947
linked_task,10000,0.0933038904
linked,100000,4.5552691001
linked_for,100000,2.66334441
linked_task,100000,2.0495111501
